Model,best_cv_score,test_mae,test_r2,test_rmse,test_mape,max_error,Test_R2,Test_RMSE,Test_MAE
VotingRegressor,,,,,,,0.8447422473266152,1.571272474368546,0.9060824086901201
StackedEnsemble,,,,,,,0.8348409893697932,1.6206005841457964,0.9187876863724644
LinearRegression,0.8392976624505364,1.0417906809578081,0.8284113425988118,1.6518444285507372,11.903721480204975,8.978217494857612,,,
Ridge,0.8455207092965701,1.019511295163441,0.8305666236116658,1.6414374488293193,11.602803370674204,8.891419977303196,,,
Lasso,0.8478561949459552,1.0043588211646812,0.831918657666214,1.634875210482677,11.382703921175475,8.867884245686811,,,
ElasticNet,0.8475200085602431,1.0072589660836782,0.8313279971389707,1.6377452773388737,11.418742495079668,8.865425800851469,,,
DecisionTree,0.8407547020346113,0.913622775638008,0.8277725995983715,1.6549160883945768,11.524086174528728,9.96923076923077,,,
RandomForest,0.8475702535277518,0.9321003466270016,0.8353263442191111,1.6182175925273663,11.81942688313243,10.110250965503571,,,
GradientBoosting,0.8630059820933411,0.9017083109336941,0.8476961267689611,1.5562534557086836,11.242416775725129,9.175624125869392,,,
AdaBoost,0.8349563534711533,1.1203468575110453,0.7870625613839866,1.8401400074932284,13.460212165405485,11.062068965517241,,,
SVR,0.837265920896963,0.9585506851475799,0.8072931092651092,1.7505457964714661,10.74667158975752,10.09986336320436,,,
KNN,0.6826701689760845,1.508872471210359,0.6450162002096155,2.3759052748090506,16.006223535304844,11.958820859342573,,,
MLP,0.8323423019580772,1.0630619052933665,0.8259391864227783,1.6637013130457845,12.361797400853467,9.43521144829365,,,
WeightedEnsemble,,,,,,,,,
